pre,post,type,n_synapses,stage
ADAL,AIBR,chemical,1,4
ADAL,AIZL,chemical,1,4
ADAL,AVAL,chemical,1,4
ADAL,AVBL,chemical,3,4
ADAL,AVBR,chemical,2,4
ADAL,AVDR,chemical,2,4
ADAL,AVJR,chemical,2,4
ADAL,RIML,chemical,3,4
ADAL,RIPL,chemical,1,4
ADAL,SAAVL,chemical,1,4
ADAR,AVBL,chemical,1,4
ADAR,AVBR,chemical,4,4
ADAR,AVEL,chemical,1,4
ADAR,AVJL,chemical,3,4
ADAR,DVA,chemical,1,4
ADAR,OLQVR,chemical,1,4
ADAR,RICL,chemical,1,4
ADAR,RICR,chemical,1,4
ADAR,RIMR,chemical,2,4
ADAR,RIPR,chemical,3,4
ADAR,URADR,chemical,1,4
ADEL,AVAR,chemical,2,4
ADEL,AVDR,chemical,1,4
ADEL,AVKL,chemical,1,4
ADEL,RIFL,chemical,1,4
ADEL,RIGL,chemical,2,4
ADEL,RIS,chemical,1,4
ADEL,SAADL,chemical,1,4
ADEL,SMDVR,chemical,1,4
ADER,AQR,chemical,2,4
ADER,AVAL,chemical,2,4
ADER,RIGR,chemical,2,4
ADFL,ADAL,chemical,2,4
ADFL,ADFR,chemical,1,4
ADFL,AFDL,chemical,1,4
ADFL,AIZL,chemical,6,4
ADFL,AIZR,chemical,1,4
ADFL,ASHL,chemical,1,4
ADFL,AUAL,chemical,3,4
ADFL,RIAL,chemical,8,4
ADFL,RIMR,chemical,1,4
ADFL,SMBVL,chemical,4,4
ADFR,ADFL,chemical,1,4
ADFR,AFDR,chemical,1,4
ADFR,AIAR,chemical,1,4
ADFR,AIZR,chemical,5,4
ADFR,AUAR,chemical,1,4
ADFR,RIAR,chemical,7,4
ADFR,RIGR,chemical,1,4
ADFR,RIR,chemical,2,4
ADFR,SMBVR,chemical,1,4
ADFR,URXR,chemical,1,4
ADLL,ADAL,chemical,3,4
ADLL,AIAL,chemical,6,4
ADLL,AIBL,chemical,4,4
ADLL,ASHL,chemical,1,4
ADLL,ASJL,chemical,1,4
ADLL,ASKL,chemical,6,4
ADLL,AVAL,chemical,3,4
ADLL,AVDL,chemical,2,4
ADLL,AVDR,chemical,2,4
ADLL,AVJL,chemical,1,4
ADLL,AWCL,chemical,2,4
ADLL,OLLL,chemical,1,4
ADLR,ADAR,chemical,1,4
ADLR,AIAR,chemical,4,4
ADLR,AIBR,chemical,5,4
ADLR,ASHR,chemical,3,4
ADLR,ASKR,chemical,3,4
ADLR,AVAR,chemical,4,4
ADLR,AVDR,chemical,1,4
ADLR,AVJR,chemical,1,4
ADLR,AWCR,chemical,2,4
ADLR,SIBDL,chemical,1,4
AFDL,AIYL,chemical,6,4
AFDL,AIZL,chemical,1,4
AFDL,BAGR,chemical,2,4
AFDR,AIYR,chemical,5,4
AFDR,AWAR,chemical,1,4
AFDR,BAGL,chemical,1,4
AIAL,AIBL,chemical,9,4
AIAL,ASHL,chemical,2,4
AIAL,ASKL,chemical,3,4
AIAL,AWAL,chemical,1,4
AIAL,AWCL,chemical,2,4
AIAL,AWCR,chemical,3,4
AIAL,RIFL,chemical,1,4
AIAR,ADLR,chemical,1,4
AIAR,AIBR,chemical,8,4
AIAR,AIZR,chemical,2,4
AIAR,ASER,chemical,1,4
AIAR,ASHR,chemical,1,4
AIAR,ASKR,chemical,2,4
AIAR,AWCR,chemical,1,4
AIAR,RIFR,chemical,1,4
AIBL,AVAL,chemical,1,4
AIBL,AVBL,chemical,3,4
AIBL,RIBR,chemical,2,4
AIBL,RIML,chemical,1,4
AIBL,RIMR,chemical,9,4
AIBL,RIVL,chemical,1,4
AIBL,SAADL,chemical,1,4
AIBL,SMDDR,chemical,3,4
AIBL,SMDVR,chemical,3,4
AIBR,AVBR,chemical,6,4
AIBR,RIBL,chemical,7,4
AIBR,RIBR,chemical,1,4
AIBR,RIML,chemical,7,4
AIBR,RIMR,chemical,2,4
AIBR,RMEV,chemical,1,4
AIBR,SAADR,chemical,1,4
AIBR,SMDDL,chemical,2,4
AIBR,SMDVL,chemical,3,4
AIML,AIAL,chemical,3,4
AIML,AIMR,chemical,1,4
AIML,ALML,chemical,1,4
AIML,ASGL,chemical,2,4
AIML,ASJL,chemical,1,4
AIML,ASKL,chemical,2,4
AIML,AVDL,chemical,1,4
AIMR,AIAL,chemical,1,4
AIMR,AIAR,chemical,2,4
AIMR,ALMR,chemical,1,4
AIMR,ASGR,chemical,3,4
AIMR,ASHL,chemical,1,4
AIMR,ASHR,chemical,1,4
AIMR,AVBR,chemical,1,4
