pre,post,type,n_synapses,stage
ADAL,AIAL,chemical,2,7
ADAL,AIBL,chemical,2,7
ADAL,AIBR,chemical,1,7
ADAL,AVAL,chemical,1,7
ADAL,AVBL,chemical,7,7
ADAL,AVBR,chemical,7,7
ADAL,AVER,chemical,3,7
ADAL,AVJR,chemical,2,7
ADAL,DVA,chemical,2,7
ADAL,RICR,chemical,2,7
ADAL,RIML,chemical,7,7
ADAL,RIPL,chemical,5,7
ADAL,URXL,chemical,1,7
ADAR,ADER,chemical,1,7
ADAR,AIBL,chemical,2,7
ADAR,AIBR,chemical,1,7
ADAR,AVAL,chemical,1,7
ADAR,AVAR,chemical,1,7
ADAR,AVBL,chemical,2,7
ADAR,AVBR,chemical,12,7
ADAR,AVDL,chemical,1,7
ADAR,AVER,chemical,1,7
ADAR,AVJL,chemical,8,7
ADAR,DVA,chemical,1,7
ADAR,RICL,chemical,1,7
ADAR,RIFR,chemical,1,7
ADAR,RIMR,chemical,6,7
ADAR,RIPR,chemical,3,7
ADAR,RMFR,chemical,1,7
ADAR,SAADR,chemical,1,7
ADAR,SMDVL,chemical,1,7
ADAR,URXR,chemical,1,7
ADEL,ADAL,chemical,1,7
ADEL,ADEL,chemical,1,7
ADEL,ADER,chemical,6,7
ADEL,ALML,chemical,1,7
ADEL,ALNL,chemical,2,7
ADEL,AQR,chemical,2,7
ADEL,ASJL,chemical,1,7
ADEL,AVAR,chemical,2,7
ADEL,AVKL,chemical,2,7
ADEL,AVKR,chemical,1,7
ADEL,BDUL,chemical,1,7
ADEL,CEPDL,chemical,2,7
ADEL,CEPshDL,chemical,2,7
ADEL,IL1L,chemical,5,7
ADEL,IL2L,chemical,1,7
ADEL,OLLL,chemical,4,7
ADEL,RIGL,chemical,6,7
ADEL,RIGR,chemical,9,7
ADEL,RIH,chemical,1,7
ADEL,RIVR,chemical,1,7
ADEL,RMDL,chemical,4,7
ADEL,RMDR,chemical,1,7
ADEL,RMER,chemical,1,7
ADEL,RMFR,chemical,1,7
ADEL,SAADR,chemical,1,7
ADEL,SAAVL,chemical,1,7
ADEL,SIBVR,chemical,2,7
ADEL,SMBDR,chemical,2,7
ADER,ADAR,chemical,1,7
ADER,ADEL,chemical,2,7
ADER,AQR,chemical,1,7
ADER,AVAL,chemical,7,7
ADER,AVAR,chemical,3,7
ADER,AVBR,chemical,1,7
ADER,AVER,chemical,1,7
ADER,AVKL,chemical,2,7
ADER,BWM-DR04,chemical,2,7
ADER,CEPDR,chemical,1,7
ADER,CEPVR,chemical,2,7
ADER,CEPshDR,chemical,2,7
ADER,DVA,chemical,1,7
ADER,DVC,chemical,2,7
ADER,FLPL,chemical,1,7
ADER,IL1R,chemical,3,7
ADER,IL2R,chemical,2,7
ADER,OLLR,chemical,2,7
ADER,PVNR,chemical,1,7
ADER,PVPL,chemical,1,7
ADER,RIGL,chemical,10,7
ADER,RIGR,chemical,9,7
ADER,RIH,chemical,2,7
ADER,RIVL,chemical,3,7
ADER,RIVR,chemical,2,7
ADER,RMDL,chemical,1,7
ADER,RMDR,chemical,2,7
ADER,RMFL,chemical,4,7
ADER,RMFR,chemical,2,7
ADER,RMGR,chemical,1,7
ADER,RMHL,chemical,2,7
ADER,SAADL,chemical,1,7
ADER,SMBVR,chemical,1,7
ADER,URBR,chemical,1,7
ADFL,ADAL,chemical,1,7
ADFL,AIBL,chemical,1,7
ADFL,AIZL,chemical,6,7
ADFL,AIZR,chemical,2,7
ADFL,ASER,chemical,2,7
ADFL,AUAL,chemical,4,7
ADFL,AVHR,chemical,1,7
ADFL,AWBL,chemical,2,7
ADFL,OLQVL,chemical,1,7
ADFL,PVQL,chemical,1,7
ADFL,RIAL,chemical,15,7
ADFL,RICR,chemical,1,7
ADFL,RIGL,chemical,4,7
ADFL,RIGR,chemical,1,7
ADFL,RIR,chemical,3,7
ADFL,SIBVL,chemical,1,7
ADFL,SMBDL,chemical,1,7
ADFL,SMBVL,chemical,5,7
ADFL,URXL,chemical,1,7
ADFL,URYVL,chemical,1,7
ADFR,AIZL,chemical,2,7
ADFR,AIZR,chemical,9,7
ADFR,ASGR,chemical,1,7
ADFR,AUAR,chemical,9,7
ADFR,AVHL,chemical,1,7
ADFR,RIAR,chemical,20,7
ADFR,RIGR,chemical,4,7
ADFR,RIR,chemical,3,7
ADFR,SMBVR,chemical,7,7
ADFR,URXL,chemical,1,7
ADFR,URXR,chemical,2,7
ADLL,AIAL,chemical,5,7
ADLL,AIBL,chemical,13,7
ADLL,ASEL,chemical,5,7
ADLL,ASHL,chemical,6,7
ADLL,ASKL,chemical,2,7
ADLL,AVAL,chemical,2,7
ADLL,AVDL,chemical,2,7
ADLL,AVDR,chemical,10,7
ADLL,AVEL,chemical,1,7
ADLL,AVJL,chemical,1,7
ADLL,AVJR,chemical,5,7
ADLL,AWBL,chemical,1,7
ADLL,AWCL,chemical,4,7
ADLL,HSNL,chemical,1,7
ADLL,HSNR,chemical,1,7
ADLL,PVNL,chemical,1,7
ADLL,PVQL,chemical,2,7
ADLL,SIBDR,chemical,1,7
ADLL,SMBVL,chemical,1,7
ADLR,AIAR,chemical,9,7
ADLR,AIBR,chemical,11,7
ADLR,ASER,chemical,5,7
ADLR,ASHR,chemical,5,7
ADLR,AVAR,chemical,8,7
ADLR,AVBR,chemical,2,7
ADLR,AVDR,chemical,2,7
ADLR,AVER,chemical,1,7
ADLR,AVJL,chemical,1,7
ADLR,AVJR,chemical,1,7
ADLR,AWCR,chemical,4,7
ADLR,CEPshVR,chemical,1,7
ADLR,PVPR,chemical,1,7
ADLR,SIBDL,chemical,1,7
ADLR,SMBVR,chemical,5,7
AFDL,AIYL,chemical,12,7
AFDL,AIYR,chemical,1,7
AFDL,ASER,chemical,1,7
AFDR,AIYR,chemical,14,7
AFDR,ASEL,chemical,1,7
AIAL,ADAL,chemical,2,7
AIAL,ADLL,chemical,1,7
AIAL,AIBL,chemical,14,7
AIAL,ASEL,chemical,1,7
AIAL,ASER,chemical,1,7
AIAL,ASGL,chemical,1,7
AIAL,ASIL,chemical,2,7
AIAL,ASKL,chemical,2,7
AIAL,AWAL,chemical,1,7
AIAL,AWCL,chemical,7,7
AIAR,ADAR,chemical,2,7
AIAR,ADLR,chemical,1,7
AIAR,AIBR,chemical,11,7
AIAR,ASGR,chemical,1,7
AIAR,ASHR,chemical,1,7
AIAR,ASKR,chemical,3,7
AIAR,AWCL,chemical,6,7
AIAR,HSNL,chemical,2,7
AIAR,RIFL,chemical,2,7
AIAR,RIFR,chemical,1,7
AIBL,ADAR,chemical,1,7
AIBL,AUAR,chemical,1,7
AIBL,AVAL,chemical,6,7
AIBL,AVAR,chemical,1,7
AIBL,AVBL,chemical,9,7
AIBL,AVEL,chemical,1,7
AIBL,RIBL,chemical,1,7
AIBL,RIBR,chemical,6,7
AIBL,RIGR,chemical,1,7
AIBL,RIML,chemical,1,7
AIBL,RIMR,chemical,26,7
AIBL,SAADL,chemical,3,7
AIBL,SAADR,chemical,1,7
AIBL,SMDDR,chemical,4,7
AIBL,SMDVR,chemical,9,7
AIBR,ADAL,chemical,1,7
AIBR,AQR,chemical,1,7
AIBR,AVAR,chemical,2,7
AIBR,AVBR,chemical,8,7
AIBR,AVER,chemical,1,7
AIBR,BAGR,chemical,1,7
AIBR,DVA,chemical,2,7
AIBR,DVC,chemical,1,7
AIBR,RIAL,chemical,1,7
AIBR,RIBL,chemical,8,7
AIBR,RIML,chemical,24,7
AIBR,RIMR,chemical,2,7
AIBR,RIVR,chemical,1,7
AIBR,RMFL,chemical,2,7
AIBR,SAADL,chemical,3,7
AIBR,SAADR,chemical,1,7
AIBR,SAAVR,chemical,2,7
AIBR,SIADL,chemical,1,7
AIBR,SIBVR,chemical,1,7
AIBR,SMDDL,chemical,2,7
AIBR,SMDVL,chemical,9,7
AIML,ADAL,chemical,1,7
AIML,AIAL,chemical,8,7
AIML,AIMR,chemical,1,7
AIML,ALML,chemical,1,7
AIML,ASGL,chemical,7,7
AIML,ASHL,chemical,3,7
AIML,ASJL,chemical,1,7
AIML,ASKL,chemical,4,7
AIML,AVAL,chemical,1,7
AIML,AVBL,chemical,3,7
AIML,AVFL,chemical,4,7
AIML,AVFR,chemical,3,7
AIML,AWBL,chemical,2,7
AIML,CEPVL,chemical,1,7
AIML,CEPshDR,chemical,1,7
AIML,CEPshVL,chemical,3,7
AIML,HSNL,chemical,2,7
AIML,PVNL,chemical,1,7
AIML,RID,chemical,2,7
AIML,SDQL,chemical,1,7
AIML,SIADR,chemical,1,7
AIML,SMBDR,chemical,1,7
AIML,SMBVL,chemical,1,7
AIMR,AIAR,chemical,7,7
AIMR,AIMR,chemical,1,7
AIMR,AIYR,chemical,1,7
AIMR,AIZR,chemical,1,7
AIMR,ASGR,chemical,6,7
AIMR,ASHR,chemical,1,7
AIMR,ASKR,chemical,2,7
AIMR,AVDR,chemical,2,7
AIMR,AVFL,chemical,1,7
AIMR,AVFR,chemical,2,7
AIMR,AVJR,chemical,1,7
AIMR,CEPshDR,chemical,1,7
AIMR,CEPshVR,chemical,1,7
AIMR,HSNL,chemical,1,7
