pre,post,type,n_synapses,stage
ADAL,AIAL,chemical,1,6
ADAL,AIBL,chemical,1,6
ADAL,AVAL,chemical,3,6
ADAL,AVAR,chemical,1,6
ADAL,AVBL,chemical,9,6
ADAL,AVBR,chemical,2,6
ADAL,AVHR,chemical,1,6
ADAL,AVJR,chemical,3,6
ADAL,PVPL,chemical,1,6
ADAL,RICL,chemical,1,6
ADAL,RIML,chemical,4,6
ADAL,RIPL,chemical,1,6
ADAL,SDQR,chemical,1,6
ADAR,ASHR,chemical,1,6
ADAR,AVAL,chemical,3,6
ADAR,AVAR,chemical,2,6
ADAR,AVBL,chemical,4,6
ADAR,AVBR,chemical,10,6
ADAR,AVDL,chemical,2,6
ADAR,AVJL,chemical,5,6
ADAR,OLQVR,chemical,1,6
ADAR,RIMR,chemical,4,6
ADAR,RIPR,chemical,4,6
ADEL,ADAL,chemical,2,6
ADEL,ADER,chemical,1,6
ADEL,AINL,chemical,1,6
ADEL,AVAR,chemical,2,6
ADEL,AVDL,chemical,2,6
ADEL,AVDR,chemical,1,6
ADEL,CEPVL,chemical,1,6
ADEL,CEPshDL,chemical,2,6
ADEL,IL1L,chemical,1,6
ADEL,IL2L,chemical,2,6
ADEL,OLLL,chemical,3,6
ADEL,RIGL,chemical,1,6
ADEL,RIGR,chemical,4,6
ADEL,RIVL,chemical,1,6
ADEL,RMDR,chemical,1,6
ADEL,RMHR,chemical,1,6
ADEL,SAADR,chemical,1,6
ADEL,SDQL,chemical,1,6
ADER,ADAR,chemical,1,6
ADER,ADEL,chemical,3,6
ADER,ALMR,chemical,1,6
ADER,AVAL,chemical,1,6
ADER,AVAR,chemical,2,6
ADER,AVDR,chemical,1,6
ADER,BWM-DR04,chemical,1,6
ADER,BWM-VR04,chemical,1,6
ADER,CEPDR,chemical,1,6
ADER,GLRR,chemical,2,6
ADER,IL1R,chemical,1,6
ADER,IL2R,chemical,1,6
ADER,PVR,chemical,1,6
ADER,RIGL,chemical,3,6
ADER,RIGR,chemical,2,6
ADER,SDQR,chemical,1,6
ADER,SIBDL,chemical,1,6
ADFL,AIYL,chemical,1,6
ADFL,AIZL,chemical,6,6
ADFL,AUAL,chemical,3,6
ADFL,OLQVL,chemical,1,6
ADFL,RIAL,chemical,11,6
ADFL,RIGL,chemical,2,6
ADFL,SIBVL,chemical,1,6
ADFL,SMBDL,chemical,4,6
ADFL,SMBVL,chemical,5,6
ADFL,URXL,chemical,1,6
ADFR,AIZR,chemical,5,6
ADFR,AUAR,chemical,4,6
ADFR,RIAR,chemical,8,6
ADFR,RIGR,chemical,3,6
ADFR,SMBVR,chemical,1,6
ADLL,AIAL,chemical,6,6
ADLL,AIAR,chemical,1,6
ADLL,AIBL,chemical,5,6
ADLL,ASEL,chemical,2,6
ADLL,ASHL,chemical,2,6
ADLL,ASKL,chemical,2,6
ADLL,AVAL,chemical,2,6
ADLL,AVAR,chemical,1,6
ADLL,AVBL,chemical,1,6
ADLL,AVDL,chemical,1,6
ADLL,AVDR,chemical,5,6
ADLL,AVEL,chemical,1,6
ADLL,AVJL,chemical,1,6
ADLL,AVJR,chemical,2,6
ADLL,AWCL,chemical,3,6
ADLL,AWCR,chemical,3,6
ADLL,CEPshVL,chemical,1,6
ADLL,PVCL,chemical,2,6
ADLL,PVPL,chemical,1,6
ADLL,SMBVL,chemical,1,6
ADLR,ADAR,chemical,1,6
ADLR,AIAR,chemical,4,6
ADLR,AIBR,chemical,6,6
ADLR,ASER,chemical,1,6
ADLR,ASHR,chemical,1,6
ADLR,ASKR,chemical,3,6
ADLR,AVAR,chemical,1,6
ADLR,AVDL,chemical,1,6
ADLR,AVDR,chemical,2,6
ADLR,AVJR,chemical,2,6
ADLR,AWCR,chemical,2,6
AFDL,AIYL,chemical,6,6
AFDR,AIYR,chemical,9,6
AFDR,ASEL,chemical,1,6
AFDR,AWAR,chemical,1,6
AIAL,ADAL,chemical,2,6
AIAL,ADLL,chemical,1,6
AIAL,AIBL,chemical,9,6
AIAL,AINR,chemical,1,6
AIAL,AIZL,chemical,1,6
AIAL,ASGL,chemical,1,6
AIAL,ASKL,chemical,2,6
AIAL,AWCL,chemical,1,6
AIAL,AWCR,chemical,2,6
AIAL,RIFL,chemical,1,6
AIAR,ADAR,chemical,3,6
AIAR,AIBR,chemical,12,6
AIAR,AIZR,chemical,2,6
AIAR,ASGR,chemical,1,6
AIAR,ASKR,chemical,2,6
AIAR,AWCR,chemical,5,6
AIAR,RIFR,chemical,1,6
AIBL,AVBL,chemical,8,6
AIBL,RIBR,chemical,3,6
AIBL,RIML,chemical,1,6
AIBL,RIMR,chemical,17,6
AIBL,SAAVL,chemical,1,6
AIBL,SIADR,chemical,1,6
AIBL,SMDDR,chemical,5,6
AIBL,SMDVR,chemical,4,6
AIBR,AVBR,chemical,5,6
AIBR,BAGR,chemical,1,6
AIBR,DVA,chemical,1,6
AIBR,RIBL,chemical,5,6
AIBR,RIBR,chemical,1,6
AIBR,RIML,chemical,13,6
AIBR,RMFR,chemical,1,6
AIBR,SAADR,chemical,1,6
AIBR,SIADL,chemical,1,6
AIBR,SMDDL,chemical,4,6
AIBR,SMDVL,chemical,4,6
AIML,AIAL,chemical,4,6
AIML,ASGL,chemical,3,6
AIML,ASJL,chemical,2,6
AIML,ASKL,chemical,2,6
AIML,AVFL,chemical,2,6
AIML,AVFR,chemical,2,6
AIML,CEPshVL,chemical,1,6
AIMR,AIAR,chemical,8,6
AIMR,ASGR,chemical,5,6
AIMR,ASJR,chemical,2,6
AIMR,ASKR,chemical,2,6
AIMR,AVBR,chemical,1,6
AIMR,AVFR,chemical,2,6
AIMR,AVHR,chemical,1,6
AIMR,AWBR,chemical,1,6
AIMR,CEPshDL,chemical,2,6
AIMR,CEPshVR,chemical,1,6
AIMR,RMGR,chemical,1,6
AIMR,SIBDL,chemical,1,6
AIMR,SMBDL,chemical,1,6
AIMR,URXR,chemical,1,6
AINL,AFDR,chemical,4,6
AINL,AINR,chemical,2,6
AINL,AUAR,chemical,3,6
AINL,BAGL,chemical,4,6
AINL,CEPshVR,chemical,4,6
AINL,RIBL,chemical,2,6
AINL,RIBR,chemical,1,6
AINR,AFDL,chemical,3,6
AINR,AFDR,chemical,2,6
AINR,ASER,chemical,1,6
AINR,AUAL,chemical,3,6
AINR,BAGL,chemical,2,6
AINR,BAGR,chemical,6,6
AINR,CEPVL,chemical,1,6
AINR,CEPshVL,chemical,5,6
AINR,RIBL,chemical,2,6
AINR,RIBR,chemical,2,6
AIYL,AIZL,chemical,11,6
AIYL,AWAL,chemical,2,6
AIYL,AWBL,chemical,1,6
AIYL,RIAL,chemical,4,6
AIYL,RIBL,chemical,4,6
AIYL,RIR,chemical,1,6
AIYR,AFDR,chemical,1,6
AIYR,AIYL,chemical,1,6
AIYR,AIZL,chemical,1,6
AIYR,AIZR,chemical,9,6
AIYR,AWAR,chemical,1,6
AIYR,RIAR,chemical,3,6
AIYR,RIBR,chemical,3,6
AIYR,RIR,chemical,1,6
AIZL,ADFL,chemical,2,6
AIZL,AIAL,chemical,3,6
AIZL,AIBL,chemical,6,6
AIZL,AIBR,chemical,11,6
AIZL,AIYL,chemical,1,6
AIZL,ASEL,chemical,1,6
AIZL,AVEL,chemical,1,6
AIZL,AVER,chemical,4,6
AIZL,AVHR,chemical,1,6
AIZL,AVKL,chemical,1,6
AIZL,BAGR,chemical,1,6
AIZL,RIAL,chemical,8,6
AIZL,RIAR,chemical,1,6
AIZL,RIML,chemical,8,6
AIZL,RIMR,chemical,1,6
AIZL,SMBDL,chemical,11,6
AIZL,SMBVL,chemical,11,6
AIZL,SMBVR,chemical,1,6
AIZR,AIAR,chemical,6,6
AIZR,AIBL,chemical,14,6
AIZR,AIBR,chemical,3,6
AIZR,ASER,chemical,3,6
AIZR,AVEL,chemical,5,6
AIZR,AVER,chemical,1,6
AIZR,AWAR,chemical,1,6
AIZR,AWBR,chemical,1,6
AIZR,RIAR,chemical,8,6
AIZR,RIMR,chemical,8,6
AIZR,SMBDR,chemical,8,6
AIZR,SMBVR,chemical,9,6
ALA,AVEL,chemical,2,6
ALA,AVER,chemical,1,6
ALA,CANR,chemical,1,6
ALA,CEPshDL,chemical,1,6
ALML,AVBL,chemical,1,6
ALML,BDUL,chemical,4,6
ALML,CEPDL,chemical,3,6
ALML,CEPVL,chemical,3,6
ALML,CEPshDL,chemical,1,6
ALML,PVCL,chemical,4,6
ALML,RIFL,chemical,1,6
ALML,SDQL,chemical,2,6
ALMR,AVDL,chemical,3,6
ALMR,BDUR,chemical,7,6
ALMR,CEPDR,chemical,2,6
ALMR,CEPVR,chemical,3,6
ALMR,PVCL,chemical,1,6
ALMR,PVCR,chemical,4,6
ALMR,RIFR,chemical,1,6
ALMR,SDQR,chemical,2,6
ALNL,AVAR,chemical,1,6
ALNL,SAAVL,chemical,5,6
ALNL,SMBDR,chemical,3,6
ALNR,AVAL,chemical,1,6
ALNR,RIVL,chemical,1,6
ALNR,SAAVR,chemical,3,6
ALNR,SMBDL,chemical,2,6
AQR,ADEL,chemical,2,6
AQR,ADER,chemical,1,6
AQR,AVAL,chemical,6,6
AQR,AVAR,chemical,5,6
AQR,AVBL,chemical,2,6
AQR,AVBR,chemical,4,6
AQR,AVDL,chemical,1,6
AQR,BAGL,chemical,2,6
AQR,BAGR,chemical,3,6
AQR,DVA,chemical,1,6
AQR,PVCL,chemical,1,6
AQR,PVCR,chemical,3,6
AQR,PVPR,chemical,1,6
AQR,RIAL,chemical,3,6
