neuron,smp-2,nrx-1,plx-1,unc-6,unc-129,syg-1,efn-3,cdh-3,cdh-4,syg-2,mig-1,vab-2,nlg-1,rig-3,cfz-2,syd-2,efn-4,slt-1,sax-3,mom-5,egl-20,sax-7,smp-1,nid-1,mig-5,lin-44,vab-1,unc-40,hmr-1,lin-17,efn-2,rig-6,unc-5,plx-2
IL1DL,-0.35832995,-0.33743766,-0.5863807,-0.23814282,-0.08170385,-0.79416287,0.0,1.1644315,-0.42310792,-0.7276277,-0.09488152,-0.29321173,-0.11695311,-0.11472557,1.4356978,-0.4989167,0.5210032,-0.26408654,0.13426046,0.31813514,0.39071542,0.7829681,-0.6998183,-0.63812464,-0.4611962,0.338771,-0.36426225,0.16328415,1.2340614,-0.6999541,-0.8903523,-0.96725035,-0.57827634,-0.6264369
IL1DR,-0.35832995,-0.33743766,-0.5863807,-0.23814282,-0.08170385,-0.79416287,0.0,1.1644315,-0.42310792,-0.7276277,-0.09488152,-0.29321173,-0.11695311,-0.11472557,1.4356978,-0.4989167,0.5210032,-0.26408654,0.13426046,0.31813514,0.39071542,0.7829681,-0.6998183,-0.63812464,-0.4611962,0.338771,-0.36426225,0.16328415,1.2340614,-0.6999541,-0.8903523,-0.96725035,-0.57827634,-0.6264369
IL1L,-0.35832995,-0.33743766,-0.5863807,-0.23814282,-0.08170385,-0.79416287,0.0,1.1644315,-0.42310792,-0.7276277,-0.09488152,-0.29321173,-0.11695311,-0.11472557,1.4356978,-0.4989167,0.5210032,-0.26408654,0.13426046,0.31813514,0.39071542,0.7829681,-0.6998183,-0.63812464,-0.4611962,0.338771,-0.36426225,0.16328415,1.2340614,-0.6999541,-0.8903523,-0.96725035,-0.57827634,-0.6264369
IL1R,-0.35832995,-0.33743766,-0.5863807,-0.23814282,-0.08170385,-0.79416287,0.0,1.1644315,-0.42310792,-0.7276277,-0.09488152,-0.29321173,-0.11695311,-0.11472557,1.4356978,-0.4989167,0.5210032,-0.26408654,0.13426046,0.31813514,0.39071542,0.7829681,-0.6998183,-0.63812464,-0.4611962,0.338771,-0.36426225,0.16328415,1.2340614,-0.6999541,-0.8903523,-0.96725035,-0.57827634,-0.6264369
IL1VL,-0.35832995,-0.33743766,-0.5863807,-0.23814282,-0.08170385,-0.79416287,0.0,1.1644315,-0.42310792,-0.7276277,-0.09488152,-0.29321173,-0.11695311,-0.11472557,1.4356978,-0.4989167,0.5210032,-0.26408654,0.13426046,0.31813514,0.39071542,0.7829681,-0.6998183,-0.63812464,-0.4611962,0.338771,-0.36426225,0.16328415,1.2340614,-0.6999541,-0.8903523,-0.96725035,-0.57827634,-0.6264369
IL1VR,-0.35832995,-0.33743766,-0.5863807,-0.23814282,-0.08170385,-0.79416287,0.0,1.1644315,-0.42310792,-0.7276277,-0.09488152,-0.29321173,-0.11695311,-0.11472557,1.4356978,-0.4989167,0.5210032,-0.26408654,0.13426046,0.31813514,0.39071542,0.7829681,-0.6998183,-0.63812464,-0.4611962,0.338771,-0.36426225,0.16328415,1.2340614,-0.6999541,-0.8903523,-0.96725035,-0.57827634,-0.6264369
IL2DL,-0.35832995,-0.5431302,-0.5863807,-0.45986825,-0.38116437,-0.81867224,0.0,2.435143,-0.31804073,-0.54283094,-0.6525847,-0.33980462,-0.12918779,-0.02998073,-0.4750797,-0.9664112,-0.45946,-0.26408654,-0.5238158,0.3419394,-0.15184641,0.6780189,-0.002091905,0.16075201,0.79390377,0.092880026,-0.4956668,-0.2918212,-0.7028364,-0.5511482,-0.7116477,-0.5181823,-0.5502269,-0.07891211
IL2DR,-0.35832995,-0.5431302,-0.5863807,-0.45986825,-0.38116437,-0.81867224,0.0,2.435143,-0.31804073,-0.54283094,-0.6525847,-0.33980462,-0.12918779,-0.02998073,-0.4750797,-0.9664112,-0.45946,-0.26408654,-0.5238158,0.3419394,-0.15184641,0.6780189,-0.002091905,0.16075201,0.79390377,0.092880026,-0.4956668,-0.2918212,-0.7028364,-0.5511482,-0.7116477,-0.5181823,-0.5502269,-0.07891211
IL2L,-0.35832995,-0.5431302,-0.5863807,-0.45986825,-0.38116437,-0.81867224,0.0,2.435143,-0.31804073,-0.54283094,-0.6525847,-0.33980462,-0.12918779,-0.02998073,-0.4750797,-0.9664112,-0.45946,-0.26408654,-0.5238158,0.3419394,-0.15184641,0.6780189,-0.002091905,0.16075201,0.79390377,0.092880026,-0.4956668,-0.2918212,-0.7028364,-0.5511482,-0.7116477,-0.5181823,-0.5502269,-0.07891211
IL2R,-0.35832995,-0.5431302,-0.5863807,-0.45986825,-0.38116437,-0.81867224,0.0,2.435143,-0.31804073,-0.54283094,-0.6525847,-0.33980462,-0.12918779,-0.02998073,-0.4750797,-0.9664112,-0.45946,-0.26408654,-0.5238158,0.3419394,-0.15184641,0.6780189,-0.002091905,0.16075201,0.79390377,0.092880026,-0.4956668,-0.2918212,-0.7028364,-0.5511482,-0.7116477,-0.5181823,-0.5502269,-0.07891211
