neuron,smp-2,nrx-1,plx-1,unc-6,unc-129,syg-1,efn-3,cdh-3,cdh-4,syg-2,mig-1,vab-2,nlg-1,rig-3,cfz-2,syd-2,efn-4,slt-1,sax-3,mom-5,egl-20,sax-7,smp-1,nid-1,mig-5,lin-44,vab-1,unc-40,hmr-1,lin-17,efn-2,rig-6,unc-5,plx-2
SIADL,3.2252252,0.14793094,0.50068974,-0.05747767,-0.45785543,0.003038134,0.0,-0.8491572,-0.7352787,1.3749715,-0.26508427,-0.34934115,-0.107618526,-0.5414624,-0.45530814,0.14427856,-0.10382407,-0.26408654,0.2879606,0.5224546,-0.15184641,-0.362244,0.7973863,-0.6958073,-0.56566113,-0.04816575,-0.93810076,1.8017684,-0.749443,1.5707132,0.558314,0.17482395,1.8362783,0.61417
SIADR,3.2252252,0.14793094,0.50068974,-0.05747767,-0.45785543,0.003038134,0.0,-0.8491572,-0.7352787,1.3749715,-0.26508427,-0.34934115,-0.107618526,-0.5414624,-0.45530814,0.14427856,-0.10382407,-0.26408654,0.2879606,0.5224546,-0.15184641,-0.362244,0.7973863,-0.6958073,-0.56566113,-0.04816575,-0.93810076,1.8017684,-0.749443,1.5707132,0.558314,0.17482395,1.8362783,0.61417
SIAVL,3.2252252,0.14793094,0.50068974,-0.05747767,-0.45785543,0.003038134,0.0,-0.8491572,-0.7352787,1.3749715,-0.26508427,-0.34934115,-0.107618526,-0.5414624,-0.45530814,0.14427856,-0.10382407,-0.26408654,0.2879606,0.5224546,-0.15184641,-0.362244,0.7973863,-0.6958073,-0.56566113,-0.04816575,-0.93810076,1.8017684,-0.749443,1.5707132,0.558314,0.17482395,1.8362783,0.61417
SIAVR,3.2252252,0.14793094,0.50068974,-0.05747767,-0.45785543,0.003038134,0.0,-0.8491572,-0.7352787,1.3749715,-0.26508427,-0.34934115,-0.107618526,-0.5414624,-0.45530814,0.14427856,-0.10382407,-0.26408654,0.2879606,0.5224546,-0.15184641,-0.362244,0.7973863,-0.6958073,-0.56566113,-0.04816575,-0.93810076,1.8017684,-0.749443,1.5707132,0.558314,0.17482395,1.8362783,0.61417
SIBDL,-0.35832995,-0.79412526,0.30304056,1.1392424,-0.09880164,0.93310577,0.0,0.0050925286,-0.1393162,0.45948595,1.738666,-0.5457942,-0.26206365,-0.36865163,1.6737263,0.051254366,-0.6505479,0.06753012,0.88878936,-0.90778196,-0.15184641,0.6687009,2.0223715,-0.89769644,-0.33298934,-0.29439822,-0.16998462,0.23430817,-0.8635809,0.22895516,-0.8903523,2.5368414,1.0546885,-0.04149741
SIBDR,-0.35832995,-0.79412526,0.30304056,1.1392424,-0.09880164,0.93310577,0.0,0.0050925286,-0.1393162,0.45948595,1.738666,-0.5457942,-0.26206365,-0.36865163,1.6737263,0.051254366,-0.6505479,0.06753012,0.88878936,-0.90778196,-0.15184641,0.6687009,2.0223715,-0.89769644,-0.33298934,-0.29439822,-0.16998462,0.23430817,-0.8635809,0.22895516,-0.8903523,2.5368414,1.0546885,-0.04149741
SIBVL,-0.35832995,-0.79412526,0.30304056,1.1392424,-0.09880164,0.93310577,0.0,0.0050925286,-0.1393162,0.45948595,1.738666,-0.5457942,-0.26206365,-0.36865163,1.6737263,0.051254366,-0.6505479,0.06753012,0.88878936,-0.90778196,-0.15184641,0.6687009,2.0223715,-0.89769644,-0.33298934,-0.29439822,-0.16998462,0.23430817,-0.8635809,0.22895516,-0.8903523,2.5368414,1.0546885,-0.04149741
SIBVR,-0.35832995,-0.79412526,0.30304056,1.1392424,-0.09880164,0.93310577,0.0,0.0050925286,-0.1393162,0.45948595,1.738666,-0.5457942,-0.26206365,-0.36865163,1.6737263,0.051254366,-0.6505479,0.06753012,0.88878936,-0.90778196,-0.15184641,0.6687009,2.0223715,-0.89769644,-0.33298934,-0.29439822,-0.16998462,0.23430817,-0.8635809,0.22895516,-0.8903523,2.5368414,1.0546885,-0.04149741
SMBDL,3.363054,1.9643295,3.3647025,-0.10169639,-0.078087,1.9704893,0.0,-0.8491572,0.6374726,2.6263173,-0.035965193,-0.13777639,-0.30113187,-0.5310178,1.7671838,-0.22567122,-0.6505479,0.15681152,-0.21156535,1.5676275,0.28637663,-0.71569145,4.3100586,2.2471166,0.5874704,-0.29439822,0.79330856,-0.14095819,2.3552608,-0.6999541,1.3219779,2.442501,0.107762136,-0.3935198
SMBDR,3.363054,1.9643295,3.3647025,-0.10169639,-0.078087,1.9704893,0.0,-0.8491572,0.6374726,2.6263173,-0.035965193,-0.13777639,-0.30113187,-0.5310178,1.7671838,-0.22567122,-0.6505479,0.15681152,-0.21156535,1.5676275,0.28637663,-0.71569145,4.3100586,2.2471166,0.5874704,-0.29439822,0.79330856,-0.14095819,2.3552608,-0.6999541,1.3219779,2.442501,0.107762136,-0.3935198
SMBVL,3.363054,1.9643295,3.3647025,-0.10169639,-0.078087,1.9704893,0.0,-0.8491572,0.6374726,2.6263173,-0.035965193,-0.13777639,-0.30113187,-0.5310178,1.7671838,-0.22567122,-0.6505479,0.15681152,-0.21156535,1.5676275,0.28637663,-0.71569145,4.3100586,2.2471166,0.5874704,-0.29439822,0.79330856,-0.14095819,2.3552608,-0.6999541,1.3219779,2.442501,0.107762136,-0.3935198
SMBVR,3.363054,1.9643295,3.3647025,-0.10169639,-0.078087,1.9704893,0.0,-0.8491572,0.6374726,2.6263173,-0.035965193,-0.13777639,-0.30113187,-0.5310178,1.7671838,-0.22567122,-0.6505479,0.15681152,-0.21156535,1.5676275,0.28637663,-0.71569145,4.3100586,2.2471166,0.5874704,-0.29439822,0.79330856,-0.14095819,2.3552608,-0.6999541,1.3219779,2.442501,0.107762136,-0.3935198
SMDDL,-0.35832995,1.2460779,1.1606967,-0.34900555,-0.36381754,-0.329129,0.0,-0.177961,-0.110936895,0.26834056,0.67103076,-0.5457942,0.34510934,-0.6384481,-0.8007804,0.6851471,-0.06477237,-0.0035305985,0.08485697,-0.90778196,0.39071542,0.21734571,-0.058159243,-0.37855273,-0.4611962,0.022186385,-0.45330617,-0.276177,-0.09530843,-0.33502546,-0.01384837,-0.23305972,-0.32705098,-0.6264369
SMDDR,-0.35832995,1.2460779,1.1606967,-0.34900555,-0.36381754,-0.329129,0.0,-0.177961,-0.110936895,0.26834056,0.67103076,-0.5457942,0.34510934,-0.6384481,-0.8007804,0.6851471,-0.06477237,-0.0035305985,0.08485697,-0.90778196,0.39071542,0.21734571,-0.058159243,-0.37855273,-0.4611962,0.022186385,-0.45330617,-0.276177,-0.09530843,-0.33502546,-0.01384837,-0.23305972,-0.32705098,-0.6264369
SMDVL,-0.35832995,1.2460779,1.1606967,-0.34900555,-0.36381754,-0.329129,0.0,-0.177961,-0.110936895,0.26834056,0.67103076,-0.5457942,0.34510934,-0.6384481,-0.8007804,0.6851471,-0.06477237,-0.0035305985,0.08485697,-0.90778196,0.39071542,0.21734571,-0.058159243,-0.37855273,-0.4611962,0.022186385,-0.45330617,-0.276177,-0.09530843,-0.33502546,-0.01384837,-0.23305972,-0.32705098,-0.6264369
SMDVR,-0.35832995,1.2460779,1.1606967,-0.34900555,-0.36381754,-0.329129,0.0,-0.177961,-0.110936895,0.26834056,0.67103076,-0.5457942,0.34510934,-0.6384481,-0.8007804,0.6851471,-0.06477237,-0.0035305985,0.08485697,-0.90778196,0.39071542,0.21734571,-0.058159243,-0.37855273,-0.4611962,0.022186385,-0.45330617,-0.276177,-0.09530843,-0.33502546,-0.01384837,-0.23305972,-0.32705098,-0.6264369
URXL,2.2566967,0.5244192,-0.5863807,-0.41792017,-0.45785543,-0.92702967,0.0,-0.8491572,-0.99120265,-0.4464835,-0.42608684,0.027636215,-0.36898717,-0.119443774,-0.09755015,-0.09356152,0.41334718,-0.04226188,-0.6882441,-0.21199116,-0.15184641,-1.0175139,-0.4570284,0.13357553,-0.13086134,0.06496809,-0.065844774,-0.39890933,-0.9550361,-0.6999541,-0.3928771,0.5953853,-0.56130165,-0.8975177
URXR,2.2566967,0.5244192,-0.5863807,-0.41792017,-0.45785543,-0.92702967,0.0,-0.8491572,-0.99120265,-0.4464835,-0.42608684,0.027636215,-0.36898717,-0.119443774,-0.09755015,-0.09356152,0.41334718,-0.04226188,-0.6882441,-0.21199116,-0.15184641,-1.0175139,-0.4570284,0.13357553,-0.13086134,0.06496809,-0.065844774,-0.39890933,-0.9550361,-0.6999541,-0.3928771,0.5953853,-0.56130165,-0.8975177
